,user_location,user_description,date,text,hashtags,source
63,São Paulo - SP,Surfing the internet and spinach eater.,2023-01-09 13:18:25+00:00,RT @lordivan22: Brasil 🇧🇷/Rússia 🇷🇺: O Kremlin condena motins no Brasil e diz que “apoia totalmente” o presidente Lula.,,Twitter for Android
64,Brasil,"Patriota 🇧🇷 anti esquerda, Anti Comunistas, Amo meu Brasil Verde e Amarelo💚💛 Brasil Acima de Tudo e Deus Acima de Todos. 100%Bolsonaro🇧🇷",2023-01-09 13:18:23+00:00,"RT @thiagomartinba: Lula liberou as importações de produtos chineses, desindustrializando o Brasil, será a falência da indústria nacional,…",,Twitter for Android
65,,,2023-01-09 13:18:16+00:00,"RT @thiagomartinba: Lula liberou as importações de produtos chineses, desindustrializando o Brasil, será a falência da indústria nacional,…",,Twitter for Android
66,,,2023-01-09 13:18:15+00:00,RT @marcianoudia1: @exercitooficial BRASIL: TERRORISTAS de esquerda comandados por Lula estão sendo presos.Confira a diferença entre eles e…,,Twitter for Android
67,,👫🐱🐱🐱 ❤,2023-01-09 13:18:00+00:00,"RT @felipeneto: Como o Brasil vai tratar esses terroristas mudará em definitivo o futuro do nosso país.

Ou é adotada a tolerância zero com…",,Twitter for Android
68,,🇧🇷 Nacional-liberal 🇧🇷,2023-01-09 13:17:58+00:00,RT @lordivan22: Brasil 🇧🇷/Rússia 🇷🇺: O Kremlin condena motins no Brasil e diz que “apoia totalmente” o presidente Lula.,,Twitter for Android
69,,,2023-01-09 13:17:50+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter for Android
70,,"Enquanto há vida , há esperança!!!",2023-01-09 13:17:49+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter for iPhone
71,,Bolsonarista até o fim!!!,2023-01-09 13:17:39+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter for Android
72,,Mestre em Comunicação e Graduação em Economia UnB,2023-01-09 13:17:32+00:00,RT @lordivan22: Brasil 🇧🇷/Rússia 🇷🇺: O Kremlin condena motins no Brasil e diz que “apoia totalmente” o presidente Lula.,,Twitter for iPhone
73,,,2023-01-09 13:17:27+00:00,RT @lordivan22: Brasil 🇧🇷/Rússia 🇷🇺: O Kremlin condena motins no Brasil e diz que “apoia totalmente” o presidente Lula.,,Twitter for Android
74,,"#Liberdade 🗽 
#PatriaAmadaBrasil",2023-01-09 13:17:27+00:00,RT @marcianoudia1: @exercitooficial BRASIL: TERRORISTAS de esquerda comandados por Lula estão sendo presos.Confira a diferença entre eles e…,,Twitter for Android
