,user_location,user_description,date,text,hashtags,source
2185,"Salto, Brasil","Engenheiro, Triciclista, formado em datilografia. Apreciador de uma boa cerveja acompanhado de um bom papo.",2023-01-09 12:52:34+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter Web App
2186,,,2023-01-09 12:52:32+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for iPhone
2187,,,2023-01-09 12:52:17+00:00,"RT @paulosi75911546: A depredação deve ser repudiada. Quem depredou punido.A culpa é do Moraes e do Supremo,que soltaram bandidos e transgr…",,Twitter for iPhone
2188,"Santo Ângelo, Brasil",,2023-01-09 12:52:04+00:00,RT @Heinzeoficial: Vivemos um momento de extrema violência que só ajudará a reforçar uma imagem negativa de quem luta dignamente pela democ…,,Twitter for iPhone
2189,,"Pela Liberdade - BRASIL Acima de TUDO! 

O POVO VENCERÁ !",2023-01-09 12:51:48+00:00,"RT @paulosi75911546: A depredação deve ser repudiada. Quem depredou punido.A culpa é do Moraes e do Supremo,que soltaram bandidos e transgr…",,Twitter Web App
2190,,,2023-01-09 12:51:37+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2191,,Software engineer |  Co-owner (with John Textor) of Botafogo FR,2023-01-09 12:51:34+00:00,RT @TeofiloHayashi: Liberdade de expressão e protesto pacífico é legítimo e parte da democracia. Já a baderna e violência ocorridos hoje em…,,Twitter for Android
2192,Brasil,𝘼𝒒𝒖𝒊 é 𝒐 𝒎𝒆𝒖 𝙋𝒂í𝒔 🇧🇷 𝒆 𝒐 𝒎𝒆𝒖 𝙋𝒓𝒆𝒔𝒊𝒅𝒆𝒏𝒕𝒆 é 𝘽𝒐𝒍𝒔𝒐𝒏𝒂𝒓𝒐!,2023-01-09 12:51:31+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
2193,,"Quando o estado não atrapalha, já está me ajudando! Mais Brasil , menos Brasília . Pelo fim da petralhada!",2023-01-09 12:51:26+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for iPhone
2194,São Paulo,"Dad, Liverpool fan. Associate Professor in International Relations",2023-01-09 12:51:10+00:00,"RT @FelipePLoureiro: 3/ Se há uma linha demarcatória fundamental entre o fascismo e outros movimentos da direita autoritária, essa linha é…",,Twitter for Android
2195,a/ela/a,"cw: #SheandHerPerfectHusband | Bi, shy & ready to cry 🏳️‍🌈✨ | Moonchild don't cry, when moon rises, it's your time 🌖 | esto también pasará",2023-01-09 12:51:06+00:00,"RT @guilhermezmazi1: O bolsonarista e governador de SP Tarcísio de Freitas diz que violência tira legitimidade de atos. Ou seja, para ele é…",,Twitter for Android
2196,"Santo André, Brasil",Me siga e será seguido.,2023-01-09 12:50:46+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for Android
2197,"Foz do Iguaçu, Brasil","Família,Palmeiras,Vinho e Musica!
@palmeiras",2023-01-09 12:50:41+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for Android
2198,,"O amor vai vencer o ódio, a verdade vai vencer a mentira.
#SomosMNEPR - Movimento Negro Evangélico no Paranã
#EstadoDeDireitoSempre",2023-01-09 12:50:38+00:00,RT @dw_brasil: Altos representantes da União Europeia condenam violência bolsonarista em Brasília e reforçam apoio ao governo democraticame…,,Twitter for Android
2199,,😜,2023-01-09 12:50:34+00:00,"RT @su_parrilla: @dilmabr ""Para alcançar o seus objetivos, estão dispostos a violentar a democracia e a rasgar a constituição, espalhando a…",,Twitter for Android
2200,Belém,And I was thinking to myself: this could be Heaven or this could be Hell ♪,2023-01-09 12:50:28+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
2201,,,2023-01-09 12:50:20+00:00,"RT @marcelvanhattem: Invasão, violência e depredação de prédios públicos devem ser SEMPRE repudiadas. O descrédito que muitos hoje nutrem p…",,Twitter for Android
2202,São Paulo - SP,Pedal to the metal and move on!,2023-01-09 12:50:20+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter Web App
2203,"Macapá, Brasil",Meros devaneios tolos a me torturar,2023-01-09 12:50:19+00:00,"RT @su_parrilla: @dilmabr ""Para alcançar o seus objetivos, estão dispostos a violentar a democracia e a rasgar a constituição, espalhando a…",,Twitter Web App
2204,"Caxias do Sul, Brasil",,2023-01-09 12:50:18+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
2205,"Miami, FL",,2023-01-09 12:50:17+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for iPhone
2206,,,2023-01-09 12:50:16+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
