Level,Date and Time,Source,Event ID,Task,Category
Information,12/29/2022 3:07:30 PM,Microsoft-Windows-HttpService,111,HTTP Configuration Property Trace Task,"Create URL group 0xFF00000720000003. Status 0x0. Process Id 0x16E0 Executable path \Device\HarddiskVolume3\Program Files\Git\mingw64\bin\git-credential-manager.exe, User Saezo\OzeasSantos"
Information,12/29/2022 3:02:14 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,12/29/2022 2:52:08 PM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\ozeas\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Warning,12/29/2022 2:51:18 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Saezo\OzeasSantos SID (S-1-5-21-2173426690-2103480400-3118651004-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,12/29/2022 2:50:32 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Saezo\OzeasSantos SID (S-1-5-21-2173426690-2103480400-3118651004-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,12/29/2022 2:49:50 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user Saezo\OzeasSantos SID (S-1-5-21-2173426690-2103480400-3118651004-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,12/29/2022 2:23:50 PM,Microsoft-Windows-Ntfs,98,None,Volume ?? (\Device\HarddiskVolumeShadowCopy12) is healthy.  No action is needed.
Information,12/29/2022 1:31:33 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 76 to 78.

Reason InputAccelerometer 

BootId: 6"
Information,12/29/2022 12:56:16 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 75 to 76.

Reason SessionUnlock 

BootId: 6"
Warning,12/29/2022 12:54:24 PM,Microsoft-Windows-Kernel-Processor-Power,37,(7),The speed of processor 7 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 137038 seconds since the last report.
